id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq
127,3,C,6DoF,1.0,1.0,0.21740272641181946,3.9931724071502686,3.445497989654541,0.5476747751235962,52.4864,1,unimanual,0.2097143499903722,4,2
127,3,D,4DoF,1.0,5.0,0.24407526850700378,3.6145553588867188,3.3720109462738037,0.2425442785024643,44.1447,2,bimanual,0.15864669833556952,3,1
127,3,D,6DoF,3.0,3.0,0.21144509315490723,3.906057834625244,3.4505302906036377,0.45552733540534973,55.4064,1,unimanual,0.23472525409008757,4,2
128,0,A,4DoF,3.0,3.0,0.24962042272090912,4.004538059234619,2.9906582832336426,1.013879418373108,50.9978,1,unimanual,0.09808575834023203,0,0
128,0,A,6DoF,1.0,5.0,0.2336093634366989,3.8893961906433105,3.0181281566619873,0.871268093585968,56.2385,2,bimanual,0.14230343004630197,1,0
128,0,B,6DoF,3.0,7.0,0.24999210238456726,3.9233295917510986,3.0186703205108643,0.9046590924263,70.166,2,bimanual,0.07128173106258251,1,0
128,0,C,4DoF,0.0,0.0,0.23503825068473816,3.9462087154388428,3.019073724746704,0.9271350502967834,47.3558,1,unimanual,0.19040889251841148,2,0
128,0,C,6DoF,2.0,6.0,0.21923662722110748,3.8277080059051514,3.0476267337799072,0.7800809144973755,55.24,2,bimanual,0.10866002270994475,1,0
128,0,D,4DoF,1.0,1.0,0.22293482720851898,4.037741661071777,3.0323760509490967,1.0053656101226807,55.8284,1,unimanual,0.14357836776522065,1,0
128,0,D,6DoF,0.0,4.0,0.2050463855266571,4.0339555740356445,3.0705175399780273,0.9634385704994202,67.8457,2,bimanual,0.044232651953903676,0,1
131,3,A,4DoF,3.0,7.0,0.22419941425323486,2.8150906562805176,2.4388091564178467,0.3762816786766052,62.1256,2,bimanual,0.22543012873670568,1,0
131,3,A,6DoF,2.0,2.0,0.22758235037326813,3.031062126159668,2.437235116958618,0.5938265323638916,56.8609,1,unimanual,0.10578596326053497,1,1
131,3,B,4DoF,2.0,6.0,0.28217950463294983,2.851039171218872,2.3820111751556396,0.4690280556678772,78.2621,2,bimanual,0.16615456976191328,1,0
131,3,B,6DoF,0.0,0.0,0.24501927196979523,3.011364221572876,2.4163546562194824,0.595009446144104,111.0696,1,unimanual,0.13507781833114058,2,2
131,3,C,4DoF,0.0,4.0,0.21034114062786102,3.0353167057037354,2.4639647006988525,0.5713517069816589,66.445,2,bimanual,0.2408804179275251,1,0
131,3,C,6DoF,1.0,1.0,0.20760275423526764,3.049837827682495,2.4682962894439697,0.5815413594245911,80.0166,1,unimanual,0.08750590664869878,2,1
131,3,D,4DoF,1.0,5.0,0.220623180270195,2.976060152053833,2.447484254837036,0.5285757780075073,84.7146,2,bimanual,0.2125908087544895,0,0
131,3,D,6DoF,3.0,3.0,0.20888034999370575,3.1256279945373535,2.4659957885742188,0.6596320867538452,63.0348,1,unimanual,0.19043115199738475,0,1
132,0,A,4DoF,3.0,3.0,0.2249738723039627,4.084012508392334,3.3085882663726807,0.7754248976707458,159.5133,1,unimanual,0.18182958179196188,3,1
132,0,A,6DoF,1.0,5.0,0.25286829471588135,3.3797593116760254,3.2566094398498535,0.12314984202384949,46.5337,2,bimanual,0.2803778630893327,2,1
132,0,B,4DoF,2.0,2.0,0.2675778865814209,4.101216793060303,3.2316105365753174,0.8696057200431824,97.7192,1,unimanual,0.1842412331879875,4,1
